                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.6471,                 3.1892,                 3.3903,                0.00333,                   0.84,                 0.0104,                0.00268,                 2.5551,                 4.8166,                 3.4746,              0.0006932,              0.0006932,              0.0006932
                     35,                 2.6944,                 3.2883,                 3.3643,                0.00333,                   0.84,                0.00939,                0.00256,                 2.5301,                 5.0447,                  3.431,              0.0006536,              0.0006536,              0.0006536
                     36,                 2.7568,                 3.2951,                 3.3789,                0.01535,                    0.6,                0.02942,                0.00576,                 2.5556,                 4.2066,                 3.4541,               0.000614,               0.000614,               0.000614
                     37,                 2.7534,                 3.2564,                 3.3791,                0.11117,                   0.04,                0.03659,                0.00852,                 2.6023,                 4.0786,                  3.469,              0.0005744,              0.0005744,              0.0005744
                     38,                 2.6451,                 3.2595,                 3.3696,                0.06909,                   0.08,                0.02884,                0.00687,                 2.6744,                 4.1282,                 3.6184,              0.0005348,              0.0005348,              0.0005348
                     39,                 2.6542,                 3.1943,                 3.4037,                0.06702,                   0.04,                0.02046,                0.00525,                 2.7198,                 4.1699,                 3.6804,              0.0004952,              0.0004952,              0.0004952
                     40,                 2.8034,                 3.1582,                 3.3979,                0.03214,                   0.08,                0.01258,                0.00393,                 2.6843,                   4.13,                 3.6355,              0.0004556,              0.0004556,              0.0004556
                     41,                 2.6595,                 3.6887,                  3.407,                0.05184,                   0.12,                0.02382,                0.00537,                 2.6138,                 3.9811,                 3.5061,               0.000416,               0.000416,               0.000416
                     42,                 2.5716,                 3.6409,                 3.4001,                0.00333,                   0.84,                0.02644,                0.00659,                 2.4649,                 3.8795,                 3.4186,              0.0003764,              0.0003764,              0.0003764
                     43,                 2.4691,                   3.57,                 3.3512,                0.00349,                   0.88,                0.00988,                0.00359,                 2.3269,                 3.9203,                 3.4377,              0.0003368,              0.0003368,              0.0003368
                     44,                 2.3987,                  3.489,                 3.3301,                0.00349,                   0.88,                0.00911,                 0.0028,                 2.2744,                 3.8975,                 3.5676,              0.0002972,              0.0002972,              0.0002972
                     45,                 2.4849,                 3.4081,                 3.3456,                0.00349,                   0.88,                0.01507,                0.00432,                 2.2872,                 3.8312,                 3.5463,              0.0002576,              0.0002576,              0.0002576
                     46,                 2.4095,                 3.3471,                 3.2791,                0.01818,                   0.44,                0.13738,                0.05025,                 2.2902,                 3.7097,                 3.4838,               0.000218,               0.000218,               0.000218
                     47,                 2.4077,                 3.4422,                 3.2663,                0.20342,                0.20445,                0.18375,                0.06807,                 2.2812,                 3.6642,                 3.4617,              0.0001784,              0.0001784,              0.0001784
                     48,                 2.3134,                 3.5039,                 3.2389,                0.37943,                    0.2,                0.20131,                0.06305,                 2.2584,                  3.628,                 3.4129,              0.0001388,              0.0001388,              0.0001388
                     49,                 2.3072,                 3.4702,                  3.236,                 0.3739,                0.16774,                0.19668,                0.06049,                 2.2513,                 3.6361,                 3.3904,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 2.2571,                 3.3724,                 3.2832,                0.39262,                   0.16,                0.19633,                0.05927,                 2.2559,                 3.6534,                 3.3771,               5.96e-05,               5.96e-05,               5.96e-05
